Test,Time
512,0.002
513,0.003
514,0.002
515,0.002
516,0.002
517,0.002
518,0.002
519,0.003
520,0.002
521,0.002
522,0.002
523,0.003
524,0.002
525,0.002
526,0.002
527,0.002
528,0.003
529,0.002
530,0.002
531,0.002
532,0.002
533,0.002
534,0.002
535,0.003
536,0.002
537,0.002
538,0.002
539,0.002
540,0.002
541,0.002
542,0.003
543,0.002
544,0.002
545,0.002
546,0.002
547,0.003
548,0.002
549,0.002
550,0.002
551,0.002
552,0.002
553,0.003
554,0.002
555,0.002
556,0.002
557,0.002
558,0.002
559,0.003
560,0.002
561,0.002
562,0.002
563,0.003
564,0.002
565,0.002
566,0.002
567,0.002
568,0.002
569,0.003
570,0.002
571,0.002
572,0.002
573,0.003
574,0.002
575,0.002
576,0.002
577,0.002
578,0.003
579,0.002
580,0.002
581,0.002
582,0.002
583,0.002
584,0.002
585,0.003
586,0.002
587,0.002
588,0.002
589,0.002
590,0.003
591,0.002
592,0.002
593,0.002
594,0.002
595,0.003
596,0.002
597,0.002
598,0.003
599,0.002
600,0.002
601,0.002
602,0.002
603,0.003
604,0.002
605,0.002
606,0.002
607,0.002
608,0.002
609,0.003
610,0.002
611,0.002
612,0.002
613,0.002
614,0.003
615,0.002
616,0.002
617,0.002
618,0.002
619,0.003
620,0.002
621,0.003
622,0.001
623,0.002
624,0.002
625,0.003
626,0.003
627,0.002
628,0.002
629,0.002
630,0.002
631,0.003
632,0.002
633,0.002
634,0.002
635,0.003
636,0.002
637,0.002
638,0.002
639,0.003
640,0.002
641,0.002
642,0.002
643,0.003
644,0.002
645,0.002
646,0.002
647,0.002
648,0.002
649,0.003
650,0.002
651,0.002
652,0.002
653,0.003
654,0.002
655,0.002
656,0.002
657,0.002
658,0.002
659,0.003
660,0.002
661,0.002
662,0.002
663,0.002
664,0.003
665,0.002
666,0.002
667,0.002
668,0.002
669,0.003
670,0.002
671,0.002
672,0.002
673,0.003
674,0.002
675,0.002
676,0.002
677,0.002
678,0.002
679,0.003
680,0.002
681,0.002
682,0.002
683,0.002
684,0.002
685,0.002
686,0.003
687,0.002
688,0.002
689,0.002
690,0.002
691,0.003
692,0.002
693,0.002
694,0.002
695,0.002
696,0.003
697,0.002
698,0.002
699,0.002
700,0.002
701,0.003
702,0.002
703,0.002
704,0.002
705,0.002
706,0.003
707,0.002
708,0.002
709,0.002
710,0.002
711,0.003
712,0.002
713,0.002
714,0.003
715,0.002
716,0.002
717,0.002
718,0.002
719,0.002
720,0.003
721,0.002
722,0.002
723,0.002
724,0.002
725,0.003
726,0.002
727,0.002
728,0.002
729,0.002
730,0.003
731,0.002
732,0.002
733,0.002
734,0.002
735,0.002
736,0.003
737,0.002
738,0.002
739,0.002
740,0.002
741,0.003
742,0.002
743,0.002
744,0.003
745,0.002
746,0.002
747,0.002
748,0.002
749,0.002
750,0.003
751,0.002
752,0.002
753,0.003
754,0.002
755,0.002
756,0.002
757,0.003
758,0.002
759,0.003
760,0.001
761,0.004
762,0.002
763,0.002
764,0.002
765,0.002
766,0.002
767,0.003
768,0.002
769,0.002
770,0.002
771,0.002
772,0.003
773,0.002
774,0.002
775,0.002
776,0.002
777,0.003
778,0.002
779,0.002
780,0.002
781,0.003
782,0.002
783,0.002
784,0.002
785,0.003
786,0.002
787,0.002
788,0.002
789,0.002
790,0.003
791,0.002
792,0.002
793,0.002
794,0.002
795,0.003
796,0.002
797,0.002
798,0.002
799,0.002
800,0.003
801,0.002
802,0.002
803,0.002
804,0.002
805,0.003
806,0.002
807,0.002
808,0.002
809,0.002
810,0.003
811,0.002
812,0.002
813,0.002
814,0.003
815,0.002
816,0.002
817,0.002
818,0.002
819,0.002
820,0.003
821,0.002
822,0.002
823,0.002
824,0.002
825,0.002
826,0.003
827,0.002
828,0.002
829,0.002
830,0.002
831,0.002
832,0.002
833,0.002
834,0.002
835,0.003
836,0.002
837,0.003
838,0.002
839,0.002
840,0.002
841,0.002
842,0.003
843,0.002
844,0.002
845,0.002
846,0.002
847,0.002
848,0.003
849,0.002
850,0.002
851,0.002
852,0.003
853,0.002
854,0.002
855,0.003
856,0.002
857,0.002
858,0.002
859,0.003
860,0.002
861,0.003
862,0.002
863,0.002
864,0.002
865,0.003
866,0.002
867,0.002
868,0.003
869,0.002
870,0.002
871,0.003
872,0.002
873,0.002
874,0.002
875,0.002
876,0.003
877,0.003
878,0.002
879,0.003
880,0.002
881,0.002
882,0.002
883,0.002
884,0.003
885,0.002
886,0.002
887,0.002
888,0.003
889,0.002
890,0.002
891,0.002
892,0.003
893,0.002
894,0.002
895,0.002
896,0.002
897,0.002
898,0.002
899,0.003
900,0.002
901,0.002
902,0.002
903,0.002
904,0.003
905,0.002
906,0.002
907,0.002
908,0.002
909,0.002
910,0.003
911,0.002
912,0.002
913,0.002
914,0.002
915,0.002
916,0.003
917,0.002
918,0.002
919,0.002
920,0.002
921,0.003
922,0.002
923,0.002
924,0.002
925,0.003
926,0.002
927,0.002
928,0.002
929,0.003
930,0.002
931,0.002
932,0.002
933,0.002
934,0.003
935,0.002
936,0.002
937,0.002
938,0.002
939,0.002
940,0.003
941,0.002
942,0.002
943,0.002
944,0.002
945,0.003
946,0.002
947,0.002
948,0.002
949,0.002
950,0.003
951,0.002
952,0.002
953,0.002
954,0.002
955,0.002
956,0.003
957,0.002
958,0.002
959,0.002
960,0.002
961,0.003
962,0.002
963,0.002
964,0.002
965,0.002
966,0.002
967,0.003
968,0.002
969,0.002
970,0.002
971,0.002
972,0.002
973,0.003
974,0.002
975,0.002
976,0.002
977,0.002
978,0.003
979,0.002
980,0.002
981,0.002
982,0.002
983,0.003
984,0.002
985,0.002
986,0.002
987,0.002
988,0.002
989,0.003
990,0.002
991,0.002
992,0.002
993,0.003
994,0.002
995,0.002
996,0.002
997,0.002
998,0.003
999,0.002
1000,0.002
